deviceId,부재,미활동,활동,주의,낙상,new_0,낙상/주의,,수면 이탈 누적 시간,주의비율,낙상비율,,,
id_MzA6QUU6QTQ6RTI6RTA6NEM,13,843,664,20,0,2793,0.00,,181.82,0.11,0.00,,,34.48
id_MzA6QUU6QTQ6RTM6OTc6RjQ,3,175,236,3,0,3906,0.00,,180.11,0.02,0.00,,,455.14
id_MzA6QUU6QTQ6RTM6RTA6M0M,2,275,1042,174,2,2827,0.01,,370.49,0.47,185.24,,,36.30
id_MzA6QUU6QTQ6RTM6RTA6MzA,9,613,2647,14,0,1046,0.00,,129.25,0.11,0.00,,,313.71
id_MzQ6QUI6OTU6NzE6OTU6NzA,3,650,2606,17,1,1046,0.06,,235.79,0.07,235.79,,,477.72
id_MzQ6QUI6OTU6NzE6OTU6Rjg,1,784,2057,36,1,1442,0.03,,485.27,0.07,485.27,,,70.08
id_MzQ6QUI6OTU6NzE6OTY6MDA,7,429,3297,0,0,594,0.00,,223.00,0.00,0.00,,,115.32
id_MzQ6QUI6OTU6NzE6OTY6MDQ,11,436,2445,0,0,1439,0.00,,63.35,0.00,0.00,,,497.69
id_MzQ6QUI6OTU6NzE6OTY6Q0M,2,386,1223,171,0,2540,0.00,,421.27,0.41,0.00,,,396.98
id_MzQ6QUI6OTU6NzE6OTY6RTQ,17,751,1077,0,0,2492,0.00,,300.41,0.00,0.00,,,132.30
id_MzQ6QUI6OTU6NzE6OTc6RDQ,3,708,961,10,0,2641,0.00,,72.07,0.14,0.00,,,75.98
id_MzQ6QUI6OTU6NzE6OTk6MDg,18,701,1963,16,3,1637,0.19,,56.83,0.28,18.94,,,135.98
id_MzQ6QUI6OTU6NzE6OUI6MTA,16,648,1545,7,0,2120,0.00,,192.30,0.04,0.00,,,110.61
id_MzQ6QUI6OTU6NzE6OUM6NDA,0,408,2181,51,1,1679,0.02,,23.24,2.19,23.24,,,95.59
id_MzQ6QUI6OTU6NzE6OUM6OUM,5,744,2262,138,4,1172,0.03,,283.52,0.49,70.88,,,100.94
id_MzQ6QUI6OTU6NzE6OUM6Qzg,1,569,2309,109,6,1327,0.06,,100.71,1.08,16.79,,,178.18
id_MzQ6QUI6OTU6NzE6OUM6REM,1,474,1765,66,1,2014,0.02,,63.28,1.04,63.28,,,17.66
id_MzQ6QUI6OTU6NzE6OUQ6Mzg,12,1224,1481,26,2,1587,0.08,,186.30,0.14,93.15,,,129.73
id_MzQ6QUI6OTU6NzE6OUQ6NEM,14,660,1412,71,4,2173,0.06,,176.94,0.40,44.24,,,260.89
id_MzQ6QUI6OTU6NzE6OUU6MzQ,2,511,2458,98,0,1253,0.00,,122.38,0.80,0.00,,,436.76
id_MzQ6QUI6OTU6NzE6OUU6QTg,1,523,2194,108,1,1494,0.01,,88.73,1.22,88.73,,,67.40
id_MzQ6QUI6OTU6NzE6OUU6RDA,15,772,1528,36,2,1982,0.06,,46.32,0.78,23.16,,,212.64
id_MzQ6QUI6OTU6NzE6QTA6ODg,0,532,2379,32,1,1376,0.03,,92.74,0.35,92.74,,,353.78
id_MzQ6QUI6OTU6NzE6QTE6MDA,1874,854,1530,62,3,1871,0.05,,299.94,0.21,99.98,,,462.07
id_MzQ6QUI6OTU6NzE6QTQ6Mjg,19,655,1141,438,6,2080,0.01,,343.00,1.28,57.17,,,243.00
id_MzQ6QUI6OTU6NzE6QTQ6Nzg,6,95,1851,0,0,2374,0.00,,65.63,0.00,0.00,,,77.12
id_MzQ6QUI6OTU6NzE6QTQ6ODg,0,80,89,1,0,4150,0.00,,31.72,0.03,0.00,,,271.23
id_MzQ6QUI6OTU6NzE6QTQ6RjQ,1,456,2918,55,0,891,0.00,,466.45,0.12,0.00,,,486.22
id_MzQ6QUI6OTU6NzE6QTU6MTQ,2,671,2153,60,1,1435,0.02,,140.19,0.43,140.19,,,17.60
