day,부재,미활동,활동,주의,낙상
09-01,0,27,37,20,0
0902,0,26,47,8,0
0903,0,34,44,15,0
0904,0,17,30,15,0
0905,0,24,43,14,0
0906,1,22,32,11,0
0907,0,32,48,19,0
0908,0,25,69,9,0
0909,0,13,57,21,0
0910,0,6,0,0,0
0911,1,33,76,12,0
0912,0,35,62,11,0
0913,0,15,69,13,0
0914,2,21,25,42,1
0915,0,13,16,15,0
0916,0,21,23,0,0
0917,0,10,13,12,0
0918,1,29,25,9,0
0919,0,23,31,22,0
0920,0,1,0,2,0
0921,6,21,37,25,0
0922,1,18,43,26,0
0923,0,28,35,13,1
0924,2,26,32,18,0
0925,2,22,53,18,1
0926,1,24,41,13,0
0927,0,27,57,27,1
0928,1,32,44,10,0
0929,0,4,4,3,0
0930,1,26,48,15,2
